p0	0.023577
p1	0.099255
p2	0.129974
p3	0.154724
p4	0.175481
p5	0.193184
p6	0.209109
p7	0.224730
p8	0.242064
p9	0.257892
p10	0.272327
p11	0.287488
p12	0.305504
p13	0.322210
p14	0.336824
p15	0.352417
p16	0.367565
p17	0.382751
p18	0.399312
p19	0.414147
p20	0.428245
p21	0.443442
p22	0.458293
p23	0.472400
p24	0.486696
p25	0.504187
p26	0.518076
p27	0.534660
p28	0.552651
p29	0.568883
p30	0.586746
p31	0.604053
p32	0.621757
p33	0.640295
p34	0.657642
p35	0.676938
p36	0.694249
p37	0.710549
p38	0.728898
p39	0.748251
p40	0.767595
p41	0.792752
p42	0.816231
p43	0.837072
p44	0.858446
p45	0.882797
p46	0.905440
p47	0.927958
p48	0.952447
p49	0.978715
p50	1.004165
p51	1.029232
p52	1.052647
p53	1.078054
p54	1.105020
p55	1.131907
p56	1.165538
p57	1.191483
p58	1.220433
p59	1.250435
p60	1.278659
p61	1.309620
p62	1.342713
p63	1.381360
p64	1.415159
p65	1.453647
p66	1.493812
p67	1.535818
p68	1.577767
p69	1.625645
p70	1.668474
p71	1.716353
p72	1.766558
p73	1.825925
p74	1.886379
p75	1.946582
p76	2.003982
p77	2.064797
p78	2.136287
p79	2.216011
p80	2.292827
p81	2.389383
p82	2.481439
p83	2.578023
p84	2.680641
p85	2.799633
p86	2.930905
p87	3.064212
p88	3.219101
p89	3.398315
p90	3.580740
p91	3.810401
p92	4.060023
p93	4.366745
p94	4.740019
p95	5.243001
p96	5.773944
p97	6.441670
p98	7.660259
p99	9.981606
